X,Y
-100,-19.80
-99,7.95
-98,8.46
-97,8.97
-96,9.47
-95,9.96
-94,10.44
-93,10.92
-92,11.39
-91,11.86
-90,12.31
-89,12.76
-88,13.21
-87,13.65
-86,14.08
-85,14.51
-84,14.92
-83,15.33
-82,15.74
-81,16.14
-80,16.54
-79,16.93
-78,17.31
-77,17.69
-76,18.06
-75,18.43
-74,18.79
-73,19.15
-72,19.50
-71,19.84
-70,20.18
-69,20.51
-68,20.83
-67,21.16
-66,21.48
-65,21.79
-64,22.10
-63,22.40
-62,22.70
-61,23.00
-60,23.30
-59,23.59
-58,23.87
-57,24.16
-56,24.44
-55,24.72
-54,24.99
-53,25.26
-52,25.53
-51,25.79
-50,26.05
-49,26.31
-48,26.56
-47,26.81
-46,27.05
-45,27.29
-44,27.53
-43,27.76
-42,27.99
-41,28.21
-40,28.43
-39,28.65
-38,28.86
-37,29.06
-36,29.26
-35,29.46
-34,29.66
-33,29.85
-32,30.04
-31,30.23
-30,30.42
-29,30.60
-28,30.78
-27,30.95
-26,31.12
-25,31.30
-24,31.46
-23,31.63
-22,31.79
-21,31.95
-20,32.11
-19,32.27
-18,32.42
-17,32.56
-16,32.71
-15,32.85
-14,32.99
-13,33.13
-12,33.26
-11,33.40
-10,33.53
-9,33.66
-8,33.79
-7,33.91
-6,34.03
-5,34.15
-4,34.27
-3,34.38
-2,34.49
-1,34.60
0,34.70
1,34.81
2,34.90
3,35.00
4,35.09
5,35.18
6,35.26
7,35.35
8,35.43
9,35.51
10,35.59
11,35.66
12,35.73
13,35.80
14,35.86
15,35.91
16,35.97
17,36.02
18,36.07
19,36.12
20,36.32
21,36.67
22,36.79
23,36.92
24,37.04
25,37.15
26,37.27
27,37.38
28,37.50
29,37.60
30,37.71
31,37.82
32,37.92
33,38.02
34,38.12
35,38.22
36,38.32
37,38.41
38,38.51
39,38.60
40,38.68
41,38.77
42,38.85
43,38.94
44,39.02
45,39.10
46,39.17
47,39.25
48,39.32
49,39.39
50,39.46
51,39.53
52,39.60
53,39.66
54,39.73
55,39.79
56,39.85
57,39.90
58,39.96
59,40.01
60,40.06
61,40.11
62,40.16
63,40.20
64,40.25
65,40.29
66,40.32
67,40.36
68,40.40
69,40.43
70,40.46
71,40.49
72,40.52
73,40.55
74,40.57
75,40.59
76,40.61
77,40.63
78,40.65
79,40.67
80,40.68
81,40.70
82,40.71
83,40.72
84,40.73
85,40.73
86,40.74
87,40.74
88,40.75
89,40.75
90,40.75
91,40.74
92,40.74
93,40.73
94,40.72
95,40.71
96,40.70
97,40.69
98,40.67
99,40.66
100,40.64
101,40.62
102,40.60
103,40.58
104,40.55
105,40.53
106,40.51
107,40.48
108,40.45
109,40.42
110,40.39
111,40.35
112,40.31
113,40.28
114,40.24
115,40.20
116,40.15
117,40.11
118,40.07
119,40.03
120,39.98
121,39.94
122,39.89
123,39.85
124,39.80
125,39.75
126,39.70
127,39.65
128,39.60
129,39.55
130,39.50
131,39.45
132,39.40
133,39.35
134,39.31
135,39.26
136,39.22
137,39.17
138,39.13
139,39.08
140,61.40
