X,Y
-100,-37.96
-99,-22.92
-98,-21.99
-97,-21.21
-96,-21.23
-95,-20.08
-94,-19.12
-93,-19.30
-92,-19.33
-91,-18.21
-90,-17.42
-89,-17.58
-88,-16.90
-87,-15.72
-86,-14.29
-85,-13.82
-84,-13.49
-83,-12.70
-82,-11.93
-81,-11.39
-80,-10.67
-79,-10.34
-78,-9.44
-77,-8.44
-76,-8.57
-75,-8.38
-74,-6.99
-73,-6.26
-72,-4.82
-71,-4.00
-70,-3.29
-69,-2.80
-68,-2.35
-67,-1.67
-66,-1.29
-65,-.65
-64,.59
-63,.60
-62,1.06
-61,1.11
-60,2.07
-59,2.31
-58,3.24
-57,3.21
-56,3.29
-55,3.84
-54,4.27
-53,5.16
-52,5.74
-51,6.10
-50,6.74
-49,6.59
-48,6.76
-47,7.65
-46,7.50
-45,7.68
-44,8.52
-43,9.28
-42,9.12
-41,9.48
-40,9.90
-39,10.77
-38,11.71
-37,12.59
-36,12.83
-35,13.25
-34,13.82
-33,14.48
-32,15.32
-31,15.97
-30,17.10
-29,17.44
-28,17.63
-27,17.96
-26,18.32
-25,19.39
-24,19.83
-23,19.94
-22,20.35
-21,21.07
-20,21.38
-19,21.52
-18,22.19
-17,22.96
-16,23.06
-15,22.95
-14,23.31
-13,23.84
-12,24.56
-11,25.19
-10,25.82
-9,26.13
-8,26.65
-7,27.43
-6,27.97
-5,28.39
-4,29.34
-3,29.37
-2,29.98
-1,30.39
0,30.86
1,31.44
2,31.34
3,31.77
4,32.33
5,33.16
6,33.05
7,33.27
8,34.01
9,34.46
10,34.95
11,35.22
12,36.09
13,36.99
14,36.79
15,37.27
16,37.92
17,37.88
18,38.60
19,38.82
20,39.43
21,39.74
22,39.83
23,40.20
24,40.79
25,41.35
26,41.67
27,41.93
28,42.46
29,42.91
30,43.20
31,43.40
32,44.01
33,44.06
34,44.09
35,44.31
36,44.43
37,44.73
38,45.00
39,45.41
40,45.58
41,46.19
42,46.39
43,46.78
44,46.87
45,47.35
46,47.66
47,47.69
48,48.25
49,48.26
50,48.46
51,48.43
52,48.74
53,48.97
54,49.15
55,49.66
56,50.11
57,50.10
58,50.58
59,50.60
60,51.01
61,51.00
62,51.54
63,51.67
64,52.17
65,52.62
66,52.95
67,53.02
68,53.00
69,53.38
70,53.63
71,54.16
72,54.72
73,54.96
74,54.77
75,55.25
76,55.78
77,55.87
78,55.68
79,56.14
80,56.43
81,56.60
82,56.41
83,56.26
84,56.35
85,56.64
86,56.94
87,57.32
88,57.39
89,57.12
90,57.28
91,57.10
92,57.53
93,58.06
94,58.46
95,58.75
96,58.59
97,58.45
98,58.97
99,58.78
100,58.49
101,58.64
102,58.86
103,58.83
104,58.67
105,59.00
106,59.34
107,59.59
108,59.41
109,59.35
110,59.00
111,58.63
112,58.77
113,58.61
114,58.09
115,57.82
116,57.32
117,56.86
118,57.29
119,56.92
120,56.46
121,56.32
122,56.11
123,56.28
124,56.40
125,56.46
126,55.89
127,56.09
128,56.31
129,55.89
130,56.07
131,55.61
132,55.36
133,54.63
134,53.80
135,54.06
136,53.30
137,53.09
138,53.26
139,52.59
140,73.80
