X,Y
-100,16.62
-99,30.58
-98,30.65
-97,30.72
-96,30.79
-95,30.86
-94,30.92
-93,30.98
-92,31.04
-91,31.10
-90,31.15
-89,31.21
-88,31.26
-87,31.31
-86,31.36
-85,31.41
-84,31.46
-83,31.50
-82,31.55
-81,31.59
-80,31.63
-79,31.67
-78,31.71
-77,31.75
-76,31.79
-75,31.82
-74,31.86
-73,31.89
-72,31.92
-71,31.96
-70,31.99
-69,32.02
-68,32.05
-67,32.07
-66,32.10
-65,32.13
-64,32.15
-63,32.18
-62,32.20
-61,32.23
-60,32.25
-59,32.27
-58,32.29
-57,32.31
-56,32.33
-55,32.35
-54,32.37
-53,32.39
-52,32.40
-51,32.42
-50,32.44
-49,32.45
-48,32.47
-47,32.48
-46,32.50
-45,32.51
-44,32.52
-43,32.53
-42,32.55
-41,32.56
-40,32.57
-39,32.58
-38,32.59
-37,32.60
-36,32.61
-35,32.62
-34,32.63
-33,32.63
-32,32.64
-31,32.65
-30,32.66
-29,32.66
-28,32.67
-27,32.67
-26,32.68
-25,32.69
-24,32.69
-23,32.70
-22,32.70
-21,32.70
-20,32.71
-19,32.71
-18,32.71
-17,32.72
-16,32.72
-15,32.72
-14,32.72
-13,32.73
-12,32.73
-11,32.73
-10,32.73
-9,32.73
-8,32.73
-7,32.73
-6,32.73
-5,32.73
-4,32.73
-3,32.73
-2,32.73
-1,32.73
0,32.73
1,32.73
2,32.73
3,32.73
4,32.73
5,32.72
6,32.72
7,32.72
8,32.72
9,32.72
10,32.71
11,32.71
12,32.71
13,32.70
14,32.70
15,32.70
16,32.69
17,32.69
18,32.69
19,32.68
20,32.73
21,32.86
22,32.86
23,32.87
24,32.87
25,32.88
26,32.88
27,32.88
28,32.89
29,32.89
30,32.89
31,32.89
32,32.89
33,32.90
34,32.90
35,32.90
36,32.90
37,32.90
38,32.90
39,32.90
40,32.90
41,32.90
42,32.90
43,32.89
44,32.89
45,32.89
46,32.89
47,32.88
48,32.88
49,32.88
50,32.87
51,32.87
52,32.87
53,32.86
54,32.86
55,32.85
56,32.85
57,32.84
58,32.84
59,32.83
60,32.83
61,32.82
62,32.81
63,32.81
64,32.80
65,32.79
66,32.78
67,32.78
68,32.77
69,32.76
70,32.75
71,32.74
72,32.74
73,32.73
74,32.72
75,32.71
76,32.70
77,32.69
78,32.68
79,32.67
80,32.66
81,32.65
82,32.64
83,32.63
84,32.62
85,32.60
86,32.59
87,32.58
88,32.57
89,32.56
90,32.55
91,32.53
92,32.52
93,32.51
94,32.49
95,32.48
96,32.47
97,32.45
98,32.44
99,32.43
100,32.41
101,32.40
102,32.38
103,32.37
104,32.35
105,32.34
106,32.32
107,32.31
108,32.29
109,32.27
110,32.26
111,32.24
112,32.22
113,32.21
114,32.19
115,32.17
116,32.16
117,32.14
118,32.12
119,32.10
120,32.08
121,32.06
122,32.05
123,32.03
124,32.01
125,31.99
126,31.97
127,31.95
128,31.93
129,31.91
130,31.89
131,31.87
132,31.84
133,31.82
134,31.80
135,31.78
136,31.76
137,31.73
138,31.71
139,31.69
140,39.83
