X,Y
-100,2.65
-99,25.11
-98,25.33
-97,25.55
-96,25.77
-95,25.98
-94,26.19
-93,26.39
-92,26.59
-91,26.78
-90,26.97
-89,27.16
-88,27.34
-87,27.52
-86,27.69
-85,27.86
-84,28.03
-83,28.19
-82,28.35
-81,28.51
-80,28.66
-79,28.81
-78,28.96
-77,29.10
-76,29.24
-75,29.38
-74,29.51
-73,29.64
-72,29.77
-71,29.90
-70,30.02
-69,30.14
-68,30.26
-67,30.37
-66,30.49
-65,30.60
-64,30.71
-63,30.81
-62,30.92
-61,31.02
-60,31.12
-59,31.22
-58,31.31
-57,31.41
-56,31.50
-55,31.59
-54,31.67
-53,31.76
-52,31.84
-51,31.93
-50,32.01
-49,32.08
-48,32.16
-47,32.24
-46,32.31
-45,32.38
-44,32.45
-43,32.52
-42,32.58
-41,32.65
-40,32.71
-39,32.77
-38,32.83
-37,32.89
-36,32.95
-35,33.01
-34,33.06
-33,33.12
-32,33.17
-31,33.22
-30,33.27
-29,33.32
-28,33.36
-27,33.41
-26,33.46
-25,33.50
-24,33.54
-23,33.58
-22,33.62
-21,33.66
-20,33.70
-19,33.74
-18,33.78
-17,33.81
-16,33.84
-15,33.88
-14,33.91
-13,33.94
-12,33.97
-11,34.00
-10,34.03
-9,34.06
-8,34.08
-7,34.11
-6,34.13
-5,34.16
-4,34.18
-3,34.20
-2,34.22
-1,34.24
0,34.26
1,34.28
2,34.30
3,34.32
4,34.34
5,34.35
6,34.37
7,34.38
8,34.40
9,34.41
10,34.42
11,34.44
12,34.45
13,34.46
14,34.47
15,34.48
16,34.49
17,34.50
18,34.51
19,34.52
20,34.62
21,34.84
22,34.88
23,34.91
24,34.95
25,34.98
26,35.02
27,35.05
28,35.08
29,35.11
30,35.14
31,35.17
32,35.20
33,35.22
34,35.25
35,35.28
36,35.30
37,35.32
38,35.35
39,35.37
40,35.39
41,35.41
42,35.43
43,35.45
44,35.46
45,35.48
46,35.50
47,35.51
48,35.53
49,35.54
50,35.55
51,35.57
52,35.58
53,35.59
54,35.60
55,35.61
56,35.62
57,35.63
58,35.63
59,35.64
60,35.65
61,35.65
62,35.66
63,35.66
64,35.67
65,35.67
66,35.67
67,35.67
68,35.67
69,35.68
70,35.68
71,35.67
72,35.67
73,35.67
74,35.67
75,35.67
76,35.66
77,35.66
78,35.65
79,35.65
80,35.64
81,35.64
82,35.63
83,35.62
84,35.62
85,35.61
86,35.60
87,35.59
88,35.58
89,35.57
90,35.56
91,35.55
92,35.54
93,35.52
94,35.51
95,35.50
96,35.49
97,35.47
98,35.46
99,35.44
100,35.43
101,35.41
102,35.40
103,35.38
104,35.36
105,35.35
106,35.33
107,35.31
108,35.29
109,35.27
110,35.25
111,35.23
112,35.22
113,35.20
114,35.17
115,35.15
116,35.13
117,35.11
118,35.09
119,35.07
120,35.05
121,35.02
122,35.00
123,34.98
124,34.95
125,34.93
126,34.91
127,34.88
128,34.86
129,34.83
130,34.81
131,34.78
132,34.76
133,34.73
134,34.70
135,34.68
136,34.65
137,34.62
138,34.59
139,34.57
140,47.98
