X,Y
-100,-53.00
-99,-101.20
-98,-134.40
-97,-27.60
-96,-117.80
-95,-80.00
-94,2.80
-93,3.60
-92,-108.60
-91,-45.80
-90,-15.00
-89,3.80
-88,-61.40
-87,-139.60
-86,11.20
-85,-10.00
-84,-66.20
-83,-95.40
-82,-12.60
-81,-133.80
-80,13.00
-79,-112.20
-78,-62.40
-77,19.40
-76,7.20
-75,-107.00
-74,-127.20
-73,-113.40
-72,-66.60
-71,-.80
-70,-39.00
-69,-16.20
-68,-43.40
-67,-64.60
-66,-89.80
-65,-95.00
-64,.80
-63,23.60
-62,9.40
-61,-51.80
-60,-46.00
-59,-79.20
-58,5.60
-57,1.40
-56,-53.80
-55,14.00
-54,-44.20
-53,-70.40
-52,-7.60
-51,-109.80
-50,21.00
-49,29.80
-48,-17.40
-47,38.40
-46,-26.80
-45,-64.00
-44,3.80
-43,46.60
-42,-15.60
-41,-1.80
-40,-23.00
-39,-44.20
-38,-78.40
-37,4.40
-36,-29.80
-35,-74.00
-34,-34.20
-33,-13.40
-32,-51.60
-31,-89.80
-30,-40.00
-29,-28.20
-28,-33.40
-27,-18.60
-26,-85.80
-25,34.00
-24,-9.20
-23,46.60
-22,-.60
-21,8.20
-20,34.00
-19,-37.20
-18,-36.40
-17,21.40
-16,65.20
-15,-17.00
-14,12.80
-13,-47.40
-12,13.40
-11,15.20
-10,4.00
-9,3.80
-8,-.40
-7,12.40
-6,68.20
-5,-54.00
-4,14.80
-3,5.60
-2,58.40
-1,-2.80
0,-19.00
1,79.80
2,-31.40
3,-54.60
4,-31.80
5,77.00
6,.80
7,-36.40
8,-49.60
9,24.20
10,46.00
11,-34.20
12,-32.40
13,83.40
14,53.20
15,-59.00
16,55.80
17,-21.40
18,88.40
19,-54.80
20,59.00
21,82.80
22,13.60
23,-35.60
24,-29.80
25,28.00
26,42.80
27,-19.40
28,1.40
29,38.20
30,58.00
31,-34.20
32,94.60
33,98.40
34,53.20
35,77.00
36,35.80
37,43.60
38,12.40
39,64.20
40,-31.00
41,60.80
42,17.60
43,83.40
44,1.20
45,36.00
46,97.80
47,-17.40
48,101.40
49,58.20
50,107.00
51,36.80
52,53.60
53,62.40
54,-4.80
55,10.00
56,100.80
57,3.60
58,97.40
59,18.20
60,104.00
61,-6.20
62,74.60
63,1.40
64,15.20
65,38.00
66,87.80
67,105.60
68,29.40
69,54.20
70,.00
71,-3.20
72,59.60
73,138.40
74,13.20
75,6.00
76,86.80
77,138.60
78,19.40
79,51.20
80,74.00
81,136.80
82,129.60
83,84.40
84,50.20
85,49.00
86,33.80
87,90.60
88,146.40
89,72.20
90,128.00
91,25.80
92,9.60
93,31.40
94,52.20
95,125.00
96,120.80
97,13.60
98,130.40
99,144.20
100,72.00
101,61.80
102,100.60
103,121.40
104,43.20
105,44.00
106,57.80
107,124.60
108,103.40
109,147.20
110,149.00
111,71.80
112,114.60
113,167.40
114,129.20
115,160.00
116,153.80
117,22.60
118,139.40
119,149.20
120,102.00
121,111.80
122,57.60
123,65.40
124,73.20
125,158.00
126,52.80
127,51.60
128,134.40
129,55.20
130,138.00
131,108.80
132,168.60
133,179.40
134,39.20
135,166.00
136,95.80
137,48.60
138,150.40
139,142.20
140,95.00
