406,286.80
407,320.60
408,328.40
409,307.20
410,334.00
411,306.80
412,300.60
413,343.40
414,379.20
415,344.00
416,339.80
417,295.60
418,375.40
419,344.20
420,340.00
421,347.80
422,359.60
423,352.40
424,355.20
425,374.00
426,379.80
427,328.60
428,347.40
429,312.20
430,337.00
431,361.80
432,350.60
433,316.40
434,326.20
435,318.00
436,365.80
437,311.60
438,377.40
439,389.20
440,328.00
441,338.80
442,374.60
443,375.40
444,340.20
445,403.00
446,318.80
447,322.60
448,388.40
449,354.20
450,331.00
451,367.80
452,367.60
453,329.40
454,401.20
455,353.00
456,393.80
457,403.60
458,330.40
459,353.20
460,348.00
461,391.80
462,350.60
463,358.40
464,365.20
465,333.00
466,411.80
467,357.60
468,337.40
469,404.20
470,415.00
471,340.80
472,417.60
473,358.40
474,425.20
475,384.00
476,395.80
477,350.60
478,408.40
479,387.20
480,390.00
481,377.80
482,431.60
483,379.40
484,436.20
485,425.00
486,436.80
487,436.60
488,403.40
489,410.20
490,416.00
491,381.80
492,442.60
493,379.40
494,356.20
495,374.00
496,359.80
497,359.60
498,406.40
499,388.20
500,440.00
501,376.80
502,361.60
503,416.40
504,367.20
505,420.00
506,394.80
507,375.60
508,453.40
509,426.20
510,412.00
511,435.80
512,429.60
513,432.40
514,451.20
515,396.00
516,412.80
517,381.60
518,403.40
519,454.20
520,434.00
521,443.80
522,441.60
523,416.40
524,466.20
525,429.00
526,406.80
527,456.60
528,400.40
529,449.20
530,423.00
531,424.80
532,472.60
533,411.40
534,430.20
535,458.00
536,473.80
537,414.60
538,408.40
539,396.20
540,398.00
541,463.80
542,398.60
543,414.40
544,413.20
545,476.00
546,464.80
547,411.60
548,469.40
549,421.20
550,428.00
551,470.80
552,453.60
553,425.40
554,479.20
555,436.00
556,415.80
557,420.60
558,413.40
559,421.20
560,421.00
561,497.80
562,469.60
563,460.40
564,456.20
565,427.00
566,414.80
567,415.60
568,470.40
569,440.20
570,464.00
571,478.80
572,484.60
573,465.40
574,462.20
575,445.00
